,"index","category","uid","model_id","part","sentences","aspect","sentiment","train_test"
25,1651,"Телевизоры",1224226,6168701,"minuses"," звук не понравился, точнее он вообще никакой (у 9-й серии гораздо лучше)","functionality","negative","train"
26,1590,"Телевизоры",1224204,6168701,"minuses"," не потянул hd фильм в 33 гига (аватар)","functionality","negative","train"
27,246,"Телевизоры",1224256,6168701,"pluses","прекрасно показывает цифровые каналы со спутника платформа hd, довольно сносное качества аналоговых каналов от коллективной антенны","functionality","positive","train"
28,181,"Телевизоры",1224237,6168701,"pluses","Все заявленные форматы работают","functionality","positive","train"
29,1567,"Телевизоры",1224197,6168701,"minuses","-очень очень лёгкие ""засветы"" по низу (устраняется путем ослабления винтов корпуса и крепления матрицы, но это после окончания гарантии)","functionality","negative","train"
30,4319,"Телевизоры",1224314,6168701,"pluses","даже обычные телепрограммы смотреть можно","functionality","positive","train"
31,69,"Телевизоры",1224205,6168701,"pluses","fullhd ","functionality","positive","train"
32,2518,"Телевизоры",1224231,6168701,"comment"," по звуку - слабоват, но у меня звук идет через аудиосистему, подключенную к компьютеру","functionality","negative","train"
33,1789,"Телевизоры",1224295,6168701,"minuses","углы обзора в темноте","functionality","negative","train"
34,1696,"Телевизоры",1224250,6168701,"minuses","- звук убогий, как будто динамики запихали в коробку и закрыли","functionality","negative","train"
35,274,"Телевизоры",1224262,6168701,"pluses","воспроизводит aac аудио в мкв;","functionality","positive","train"
36,1579,"Телевизоры",1224197,6168701,"minuses","-не помнит последнюю сцену","functionality","negative","train"
37,1641,"Телевизоры",1224225,6168701,"minuses","звук","functionality","negative","train"
38,2444,"Телевизоры",1224212,6168701,"comment"," широкий диапазон настроек изображения","functionality","positive","train"
39,2599,"Телевизоры",1224272,6168701,"comment","100 гц очень понравился, ради этого стоило поменять на прошлогодний телик, который смотрит жена на кухне","functionality","positive","train"
40,58,"Телевизоры",1224205,6168701,"pluses"," куча реально полезных функций","functionality","positive","train"
41,2499,"Телевизоры",1224213,6168701,"comment","вот правда со звуком просто беда, ""колоночки"" подобно тем которые ставят на lt маленькие","functionality","negative","train"
42,108,"Телевизоры",1224219,6168701,"pluses","показывает изумительно","functionality","positive","train"
43,1620,"Телевизоры",1224214,6168701,"minuses","нету безопасного извлечения флешки и жесткого диска, для последнего может быть критично, приходится отключать телек, чтобы извлечь диск","functionality","negative","train"
44,189,"Телевизоры",1224238,6168701,"pluses","у меня нет ни какой белой засветки","functionality","positive","train"
45,2566,"Телевизоры",1224256,6168701,"comment"," никаких засветов не обнаружил","functionality","positive","train"
46,4878,"Телевизоры",1224302,6168701,"comment"," за качество картинки можно простить тв все остальные его недостатки ","functionality","positive","train"
47,332,"Телевизоры",1224280,6168701,"pluses"," 18гб фильм не запустился","functionality","negative","train"
48,1625,"Телевизоры",1224218,6168701,"minuses","при перемотке или переходе на другой файл при просмотре с медиаплеера по шнуру hdmi, иногда пропадает звук и появляется писк, приходится перезагружать или телевизор или плеер (на другом телевизоре такого нет)","functionality","negative","train"
49,339,"Телевизоры",1224278,6168701,"pluses","2 мс","functionality","positive","train"
50,94,"Телевизоры",1224215,6168701,"pluses"," много заводских предустановок изображения","functionality","positive","train"
51,59,"Телевизоры",1224205,6168701,"pluses","usb разъем читает почти все (флешки, съемные hdd) файлы *mkv ""аватар"" на 13 с лишним гигов запустился молниеносно токо без звука, есть подозрения на кодеки","functionality","positive","train"
52,156,"Телевизоры",1224232,6168701,"pluses","100 герц","functionality","positive","train"
53,263,"Телевизоры",1224259,6168701,"pluses","картинка хорошая","functionality","positive","train"
54,2594,"Телевизоры",1224272,6168701,"comment","аналоговый сигнал после цифры, лучше не смотреть","functionality","negative","train"
55,1689,"Телевизоры",1224213,6168701,"minuses","не очень хороший черный(субъективно)","functionality","negative","train"
56,282,"Телевизоры",1224266,6168701,"pluses","при просмотре hd контента к картинке не придраться","functionality","positive","train"
57,2619,"Телевизоры",1224269,6168701,"comment","все недостатки с лихвой нивелируются отличной матрицей, отображающей прекрасную картинку","functionality","positive","train"
58,2646,"Телевизоры",1224289,6168701,"comment","с флешки на отличненько читает все,фильмы смотрю как в кинотеатре","functionality","positive","train"
59,333,"Телевизоры",1224280,6168701,"pluses"," насыщенные цвета","functionality","positive","train"
60,2395,"Телевизоры",1224203,6168701,"comment","что действительно удивило, так это просто отличное для такого экрана в 42' качество эфирного тв","functionality","positive","train"
61,28,"Телевизоры",1224200,6168701,"pluses"," даже аналоговое тв (у нас кабельное) показывает замечательно","functionality","positive","train"
62,137,"Телевизоры",1224226,6168701,"pluses"," 100 гц","functionality","positive","train"
63,2465,"Телевизоры",1224217,6168701,"comment"," читает реально все форматы","functionality","positive","train"
64,4544,"Телевизоры",1224303,6168701,"minuses"," usb половину фильмов больше 5 gb не читает","functionality","negative","train"
65,2521,"Телевизоры",1224232,6168701,"comment"," файлы тяжелее 2 gb лучше не качать, особенно mkv","functionality","negative","train"
66,2553,"Телевизоры",1224249,6168701,"comment"," звука для телевизора вполне достаточно, кто хочет домашний кинотеатр - ставьте акустику","functionality","positive","train"
67,273,"Телевизоры",1224262,6168701,"pluses"," мсmkv плеер","functionality","positive","train"
68,1604,"Телевизоры",1224208,6168701,"minuses"," засветка внизу экрана присутствует, ослаблением звездочек проблема не решилась, заметно только на темном экране и то, если присматриваться","functionality","negative","train"
69,2593,"Телевизоры",1224269,6168701,"comment","брался вместо монитора для компьютера, через dvi картинка масштабировалась плохо, но через hdmi все заработало отлично","functionality","positive","train"
70,2643,"Телевизоры",1224285,6168701,"comment","главное достоинство этого телека - картинка ","functionality","positive","train"
71,2648,"Телевизоры",1224291,6168701,"comment","звук и угла обзора сильно портят впечатление от тв","functionality","negative","train"
72,2659,"Телевизоры",1224295,6168701,"comment"," на белом фоне по краям видны темные области","functionality","negative","train"
73,2442,"Телевизоры",1224212,6168701,"comment"," флешку читает на ура","functionality","positive","train"
74,1773,"Телевизоры",1224283,6168701,"minuses","просмотр видео","functionality","negative","train"
75,1584,"Телевизоры",1224202,6168701,"minuses"," засвет снизу посередине (шириной ~ 10см)","functionality","negative","train"
76,2417,"Телевизоры",1224207,6168701,"comment","через usb-разъём не смог прочитать фильм на 17гб с hd-диска","functionality","negative","train"
77,243,"Телевизоры",1224255,6168701,"pluses"," телевизор показывает отменно)","functionality","positive","train"
78,104,"Телевизоры",1224218,6168701,"pluses","100 гц","functionality","positive","train"
79,93,"Телевизоры",1224215,6168701,"pluses","реалистичная картинка","functionality","positive","train"
80,1742,"Телевизоры",1224272,6168701,"minuses","звук","functionality","negative","train"
81,262,"Телевизоры",1224259,6168701,"pluses","100 гц","functionality","positive","train"
82,130,"Телевизоры",1224225,6168701,"pluses"," картинка – люкс","functionality","positive","train"
83,4335,"Телевизоры",1224316,6168701,"pluses","очень хорошая картинка,как эфир так и через компьютер,а также громадное количество настроек изображения","functionality","positive","train"
84,1639,"Телевизоры",1224224,6168701,"minuses","встроенный звук не очень, но это не беда","functionality","negative","train"
85,1788,"Телевизоры",1224294,6168701,"minuses","если файл большой - сильно тормозит","functionality","negative","train"
86,2403,"Телевизоры",1224204,6168701,"comment"," настроек не прост много, а очень много","functionality","positive","train"
87,292,"Телевизоры",1224268,6168701,"pluses"," стандартные режимы просмотра (кино, игра, и так далее ) бедноваты по цветам, но зато огромный выбор ручных настроек решает проблему полностью-если руки не кривые, то картинку можно настроить замечательно","functionality","positive","train"
88,1566,"Телевизоры",1224197,6168701,"minuses","кстати звук ""на наушники"" просто отличный","functionality","negative","train"
89,4315,"Телевизоры",1224312,6168701,"pluses","красивая картинка","functionality","positive","train"
90,295,"Телевизоры",1224268,6168701,"pluses"," звук для телевизора вполне сносный, и не надо от него ждать супер басов и так далее  встроенные динамики это не отдельные колонки с сабом","functionality","positive","train"
91,1780,"Телевизоры",1224289,6168701,"minuses","аналоговое тв слегка размыыто","functionality","negative","train"
92,294,"Телевизоры",1224268,6168701,"pluses"," треска динамиков, пропадания звука при подключении к компу, зависания фильмов тяжелее 5 гб не обнаружил","functionality","positive","train"
93,20,"Телевизоры",1224197,6168701,"pluses","-великолепное качество фильмов через usb, начиная с трёх гиговых avi рипов и кончая ремуксами mkv","functionality","positive","train"
94,208,"Телевизоры",1224245,6168701,"pluses","-почти все читает с флешки;","functionality","positive","train"
95,21,"Телевизоры",1224197,6168701,"pluses","-без тормозов воспроизводит блю-реевский поток (например ремукс ""аватара"" с 25-30 мбит сек)","functionality","positive","train"
96,164,"Телевизоры",1224234,6168701,"pluses"," есть встроенный плеер, хотя и абсолютно простой","functionality","positive","train"
97,1669,"Телевизоры",1224237,6168701,"minuses"," громкость очень тихая","functionality","negative","train"
98,278,"Телевизоры",1224264,6168701,"pluses","достоинство одно-картинка","functionality","positive","train"
99,2488,"Телевизоры",1224225,6168701,"comment"," входящий сигнал кабельного тв довольно средненький на большинстве каналов","functionality","negative","train"
100,1784,"Телевизоры",1224292,6168701,"minuses","слабый встроенный медиаплеер","functionality","negative","train"
101,1745,"Телевизоры",1224272,6168701,"minuses","внутренний плеер слабоват для ""тяжелых"" файлов","functionality","negative","train"
102,53,"Телевизоры",1224204,6168701,"pluses","куча настроек (не замудренные, все просто, все можно настроить)","functionality","positive","train"
103,359,"Телевизоры",1224291,6168701,"pluses","- встроенный плеер","functionality","positive","train"
104,4316,"Телевизоры",1224313,6168701,"pluses","отличная картинка","functionality","positive","train"
105,216,"Телевизоры",1224248,6168701,"pluses","читает все форматы с usb","functionality","positive","train"
106,63,"Телевизоры",1224206,6168701,"pluses","качество изображения;","functionality","positive","train"
107,2505,"Телевизоры",1224229,6168701,"comment"," засветов тоже нет","functionality","positive","train"
108,62,"Телевизоры",1224205,6168701,"pluses","фильмы выглядят просто потрясающе","functionality","positive","train"
109,4887,"Телевизоры",1224313,6168701,"comment"," звук тоже отличный, особенно для телевизора (тихо только при просмотре каких-то определенных фильмов с флешки)","functionality","positive","train"
110,2440,"Телевизоры",1224212,6168701,"comment"," от изображения остался в полном восторге","functionality","positive","train"
111,89,"Телевизоры",1224214,6168701,"pluses","классная картинка","functionality","positive","train"
112,2464,"Телевизоры",1224217,6168701,"comment"," просмотр большинства форматов видео с внешних накопителей - изначально была проблема: с флехи отказывался читать, но потом попробовал другую флешку и проблемы исчезли (может на той вирус какой был)","functionality","negative","train"
113,2567,"Телевизоры",1224256,6168701,"comment","ps: вопрос с чтением медиа-контента решился просто - покупкой медиа плеера","functionality","positive","train"
114,34,"Телевизоры",1224201,6168701,"pluses"," pixel plus hd","functionality","positive","train"
115,1589,"Телевизоры",1224204,6168701,"minuses","не все файлы формата mkv понимает (обломался даже на клипах до 100 метров)","functionality","negative","train"
116,2627,"Телевизоры",1224278,6168701,"comment","засветов нет, пикселей нет","functionality","positive","train"
117,4556,"Телевизоры",1224320,6168701,"minuses"," звуковые настройки, кроме громкости не работают","functionality","negative","train"
118,114,"Телевизоры",1224221,6168701,"pluses","читает фильмы с флэшки отлично","functionality","positive","train"
119,1665,"Телевизоры",1224234,6168701,"minuses"," при эфирном сигнале все время подстраивает размер, заметно в рекламных блоках или репортажах, меня напрягает","functionality","negative","train"
120,1670,"Телевизоры",1224238,6168701,"minuses","невозможно настроить разрешение экрана под свои форматы","functionality","negative","train"
121,1774,"Телевизоры",1224284,6168701,"minuses","файлы видит не все с mkv вообще не дружит(то звука нет ,то вообще не читает)","functionality","negative","train"
122,207,"Телевизоры",1224245,6168701,"pluses","-отличная картинка от компа и спутникового ресивера;","functionality","positive","train"
123,2508,"Телевизоры",1224230,6168701,"comment","аналоговое тоже неплохо на твердую четверочку","functionality","positive","train"
124,2596,"Телевизоры",1224272,6168701,"comment"," какие только улучшайзеры не пробовал, картинка аналоговая сплошная ""вата""","functionality","negative","train"
125,1747,"Телевизоры",1224272,6168701,"minuses"," 1080р зависают при перемотки и на паузе","functionality","negative","train"
126,2480,"Телевизоры",1224221,6168701,"comment","впринципе к засветке можно привыкнуть но конечно омрачает просмотр если придираться","functionality","negative","train"
127,2519,"Телевизоры",1224232,6168701,"comment","отличный телевизор, висит в спальне на стене и прекрасно справляется со своими функциями","functionality","positive","train"
128,1607,"Телевизоры",1224209,6168701,"minuses","пользуюсь неделю, попался с засветами, магазин поменял без проблем,и опять засветы по нижнему краю","functionality","negative","train"
129,1761,"Телевизоры",1224281,6168701,"minuses","изображение дергается","functionality","negative","train"
130,2471,"Телевизоры",1224219,6168701,"comment","эфирные каналы на 4+,dvd с домашнего кинотеатра настолько четко что пересмотрел половину фильмов,ну а full hd просто сказка","functionality","positive","train"
131,2520,"Телевизоры",1224232,6168701,"comment"," перемотка на многих файлах подтормаживает, особенно на больших","functionality","negative","train"
132,2394,"Телевизоры",1224203,6168701,"comment"," но конечно супер звука нет как и у любого другого телека","functionality","negative","train"
133,1592,"Телевизоры",1224204,6168701,"minuses","бывает, что притормаживает видео hd более 5 гб","functionality","negative","train"
134,2475,"Телевизоры",1224220,6168701,"comment"," подключил внешний жесткий диск 1тб - прочитал очень быстро (заполнен на 90%)","functionality","positive","train"
135,141,"Телевизоры",1224227,6168701,"pluses"," кстати эфир показывает вполне приемлемо, хотя он у меня по кабелю","functionality","positive","train"
136,221,"Телевизоры",1224249,6168701,"pluses","100 герц","functionality","positive","train"
137,1787,"Телевизоры",1224294,6168701,"minuses","мало форматов читает, даже avi через один","functionality","negative","train"
138,2415,"Телевизоры",1224207,6168701,"comment"," с коллективной антены у меня показывает достаточно хорошо, даже очень","functionality","positive","train"
139,154,"Телевизоры",1224229,6168701,"pluses","отклик 2мс","functionality","positive","train"
140,98,"Телевизоры",1224215,6168701,"pluses"," большой угол обзора - практически из любого места в комнате картинка не меняется","functionality","positive","train"
141,1605,"Телевизоры",1224208,6168701,"minuses"," фильмы больше 2 гб на паузу лучше не ставить и тем более не перематывать, ибо зависают напрочь - при том, чем ближе к концу фильма, тем сильнее завис","functionality","negative","train"
142,2632,"Телевизоры",1224282,6168701,"comment","превосходное качество картинки улучшает качество просмотра и поднимает настроение","functionality","positive","train"
143,10,"Телевизоры",1224197,6168701,"pluses","-возможность отключения любых фильтров и улучшайзеров(дочь не любит ""театральность"")","functionality","positive","train"
144,1630,"Телевизоры",1224218,6168701,"minuses"," не всегда можно включить правильные пропорции изображения, всё растягивается на весь экран","functionality","negative","train"
145,9,"Телевизоры",1224197,6168701,"pluses","-натуральные , не ""ядовитые"" цвета","functionality","positive","train"
146,4874,"Телевизоры",1224299,6168701,"comment","видео хорошего качества он просто не воспроизведет","functionality","negative","train"
147,1659,"Телевизоры",1224231,6168701,"minuses"," слабоват звук","functionality","negative","train"
148,1746,"Телевизоры",1224272,6168701,"minuses"," 720р мотает и встают на паузу","functionality","negative","train"
149,124,"Телевизоры",1224223,6168701,"pluses","usb порт","functionality","positive","train"
150,1723,"Телевизоры",1224264,6168701,"minuses","все функции телевизора тормозные","functionality","negative","train"
151,4340,"Телевизоры",1224319,6168701,"pluses"," хорошее качество изображения","functionality","positive","train"
152,2463,"Телевизоры",1224217,6168701,"comment"," качество картинки - цифровое еще не подключил, поэтому по поводу аналогового могу сказать только одно - есть каналы с нормальным вещанием, а есть и с плохим","functionality","positive","train"
153,4542,"Телевизоры",1224303,6168701,"minuses","нет будильника","functionality","negative","train"
154,4,"Телевизоры",1224197,6168701,"pluses","-pixel plus hd (громадное поле для экспериментов с картинкой)","functionality","positive","train"
155,1618,"Телевизоры",1224213,6168701,"minuses","в первую очередь звук  (для такого тв просто стыдно выдавать такой звук)","functionality","negative","train"
156,2528,"Телевизоры",1224234,6168701,"comment"," full hd контент показывает отлично, осталось только звук внешний попробовать прицепить","functionality","positive","train"
157,2720,"Телевизоры",1224296,6168701,"comment","качество картинки просто обалденное","functionality","positive","train"
158,1771,"Телевизоры",1224281,6168701,"minuses","качество кабельного телевидения на 4","functionality","negative","train"
159,122,"Телевизоры",1224222,6168701,"pluses"," качество с диска отличное, не тормозит","functionality","positive","train"
160,2620,"Телевизоры",1224275,6168701,"comment"," и никаких засветов у меня нет (сборка калининградская)","functionality","positive","train"
161,1635,"Телевизоры",1224221,6168701,"minuses","засветка в нижней части экрана, хорошо видно при просмотре темных сцен","functionality","negative","train"
162,61,"Телевизоры",1224205,6168701,"pluses","100 герц ","functionality","positive","train"
163,113,"Телевизоры",1224221,6168701,"pluses","функционал филипса хороший","functionality","positive","train"
164,4341,"Телевизоры",1224320,6168701,"pluses","очень хорошее качество изображения, можно даже сказать отличное","functionality","positive","train"
165,4332,"Телевизоры",1224315,6168701,"pluses"," наличие usb - прекрасно уже прочитал переносные винчестеры и на 60 гб и на 180 гб","functionality","positive","train"
166,4872,"Телевизоры",1224298,6168701,"comment","не могу разобраться почему по usb читает не все видеофайлы, независимо от размера и формата","functionality","negative","train"
167,127,"Телевизоры",1224224,6168701,"pluses"," принимает цифровые каналы","functionality","positive","train"
168,1794,"Телевизоры",1224295,6168701,"minuses","звук","functionality","negative","train"
169,90,"Телевизоры",1224214,6168701,"pluses","функция автозаполнения (растягивает картинку по диагонали, следовательно изображение не искажается)","functionality","positive","train"
170,335,"Телевизоры",1224281,6168701,"pluses","отличная картинка","functionality","positive","train"
171,1632,"Телевизоры",1224218,6168701,"minuses"," звук как и у большинства жк слабенький","functionality","negative","train"
172,227,"Телевизоры",1224245,6168701,"pluses","под разным углом картинка хорошая;","functionality","positive","train"
173,40,"Телевизоры",1224202,6168701,"pluses","конечно fullhd, но и эфир можно настроить - с кабельного терпимо","functionality","positive","train"
174,1642,"Телевизоры",1224225,6168701,"minuses"," бубнит, зараза, как будто через вату","functionality","negative","train"
175,259,"Телевизоры",1224258,6168701,"pluses"," dvd, mpeg, divx, xvid, контейнеры avi и mkv, звук тоже почти всё","functionality","positive","train"
176,209,"Телевизоры",1224245,6168701,"pluses","-много настроек изображения и звука;","functionality","positive","train"
177,341,"Телевизоры",1224282,6168701,"pluses","отличная картинка в формате hd, приемлемый звук","functionality","positive","train"
178,2641,"Телевизоры",1224285,6168701,"comment","по usb подключал 2tb винчестер- читает","functionality","positive","train"
179,218,"Телевизоры",1224249,6168701,"pluses","pixel plus hd - супер весчь","functionality","positive","train"
180,288,"Телевизоры",1224268,6168701,"pluses"," богатые настройки картинки","functionality","positive","train"
181,238,"Телевизоры",1224253,6168701,"pluses","3)с харда воспроизводит всё даже 16 гиговый mvk фильм","functionality","positive","train"
182,2486,"Телевизоры",1224225,6168701,"comment"," ничего, никаких «засветок», о которых тут писали, не обнаружил, как ни искал","functionality","positive","train"
183,2441,"Телевизоры",1224212,6168701,"comment"," яркие краски, картинка словно оживает перед глазами","functionality","positive","train"
184,2532,"Телевизоры",1224236,6168701,"comment"," внешний жесткий диск на 320 гб работает на ура, прочитал все фильмы кроме 8гб аватара в mkv, как выяснил потом - из-за звука dts","functionality","positive","train"
185,214,"Телевизоры",1224248,6168701,"pluses","хорошее качество изображения","functionality","positive","train"
186,2492,"Телевизоры",1224225,6168701,"comment"," правда, своим качеством за разумные деньги этот аппарат высоко задрал планку к качеству входного сигнала – сразу видно все косяки, которых раньше не замечал","functionality","negative","train"
187,4323,"Телевизоры",1224315,6168701,"pluses"," просто отличное аналоговое избражение с нашего tv кабеля, даже не ожидал, так как  изначально расчитывал на худшее","functionality","positive","train"
188,4346,"Телевизоры",1224323,6168701,"pluses","картинка full hd","functionality","positive","train"
189,1717,"Телевизоры",1224260,6168701,"minuses","засветка в центре внизу","functionality","negative","train"
190,2522,"Телевизоры",1224232,6168701,"comment"," эфир лучше смотреть кабельный или спутник, обычная антенна будет показывать хреново, как в прочем и практически все lcd tv не маленькой диагонали","functionality","negative","train"
191,251,"Телевизоры",1224257,6168701,"pluses"," картинка fullhd при качественном исходнике просто поражает своей красотой","functionality","positive","train"
192,132,"Телевизоры",1224223,6168701,"pluses","читает hdd","functionality","positive","train"
193,2451,"Телевизоры",1224215,6168701,"comment"," хотелось бы подключение к домашней сети(интернету), способность читать все форматы видео и аудио","functionality","negative","train"
194,77,"Телевизоры",1224211,6168701,"pluses","+ хорошо показывает эфир","functionality","positive","train"
195,1568,"Телевизоры",1224197,6168701,"minuses","-не рабочий ""баланс звука"" (да и не нужен он)","functionality","negative","train"
196,2507,"Телевизоры",1224230,6168701,"comment","цифру показывает просто отлично","functionality","positive","train"
197,70,"Телевизоры",1224209,6168701,"pluses","100 гц","functionality","positive","train"
198,4321,"Телевизоры",1224315,6168701,"pluses"," конечно же, 100 гц","functionality","positive","train"
199,210,"Телевизоры",1224247,6168701,"pluses","конечно же, банально, качество изображения","functionality","positive","train"
200,2413,"Телевизоры",1224206,6168701,"comment"," телевизор брал как экран в театр для просмотра для hd-рипов и bluray, а с этим он справляется на отлично","functionality","positive","train"
201,2657,"Телевизоры",1224294,6168701,"comment","нет у него частоты 100 гц","functionality","negative","train"
202,2387,"Телевизоры",1224201,6168701,"comment"," выбор был между lg 42lf650, тот выигрывает наличием ethernet порта и всеядным плеером","functionality","positive","train"
203,1580,"Телевизоры",1224197,6168701,"minuses","-перемотка иногда ""подвешивает"" файл (лечится выкл-вкл), а некоторые файлы (очень редко) принципиально не ""перематываются""","functionality","negative","train"
204,1729,"Телевизоры",1224266,6168701,"minuses","нельзя переключится 1-й кнопкой с тв на плеер\комп или обратно","exploitation","negative","train"
205,81,"Телевизоры",1224211,6168701,"pluses","+ удобный понятный пульт, в минималистических традициях ""ничего лишнего","exploitation","positive","train"
206,1731,"Телевизоры",1224267,6168701,"minuses","пульт ду, нет кнопки выключения звука,в будущем должен изцарапаться","exploitation","negative","train"
207,1617,"Телевизоры",1224206,6168701,"minuses","меню телевизора для меня понятно без инструкции, но сложновато все-таки;","exploitation","negative","train"
208,2496,"Телевизоры",1224227,6168701,"comment","с пультом какие проблемы не понятно, наоборот нет тысячи лишних кнопок, которые нажимаешь только настраивая при покупке","exploitation","positive","train"
209,236,"Телевизоры",1224252,6168701,"pluses"," удобный пульт","exploitation","positive","train"
210,4543,"Телевизоры",1224303,6168701,"minuses"," таймер сна далеко в меню запрятан","exploitation","negative","train"
211,1726,"Телевизоры",1224266,6168701,"minuses","чтоб настроить яркость, сохранив остальные параметры, надо лезть глубоко в меню, потому что настройки применяются через профайлы, вообще любые параметры меняются только через профайлы изображения и устройства","exploitation","negative","train"
212,1658,"Телевизоры",1224231,6168701,"minuses","разве что не слишком удобный пульт управления, который из-за формы в темноте часто хватаешь задом наперед и который нужно направлять строго в нижний правый угол экрана","exploitation","negative","train"
213,266,"Телевизоры",1224260,6168701,"pluses"," мало потребляет энергии","exploitation","positive","train"
214,4300,"Телевизоры",1224300,6168701,"pluses"," обслуживание на высоте","exploitation","positive","train"
215,1683,"Телевизоры",1224247,6168701,"minuses","меню, наверное минут 30 лазил по меню, что бы найти ""как убрать устройства""(ну спутниковый рессивер, компьютер","exploitation","negative","train"
216,2432,"Телевизоры",1224211,6168701,"comment","пульт удобный","exploitation","positive","train"
217,38,"Телевизоры",1224201,6168701,"pluses"," энергопотребление 95 вт","exploitation","positive","train"
218,1760,"Телевизоры",1224279,6168701,"minuses","перемудренное меню","exploitation","negative","train"
219,4540,"Телевизоры",1224302,6168701,"minuses","меню организовано не интуитивно понятно","exploitation","negative","train"
220,4327,"Телевизоры",1224315,6168701,"pluses"," меня вот лично очень порадовало меню и его возможности - не знаю, почему многим оно кажется непонятным","exploitation","positive","train"
221,1684,"Телевизоры",1224247,6168701,"minuses","пульт ду требует ""постоянного своего внимания"", найти легко, без взгляда на пульт, можно только кнопки громкости и вкл/выкл","exploitation","negative","train"
222,24,"Телевизоры",1224197,6168701,"pluses","-понимает русские названия","exploitation","positive","train"
223,349,"Телевизоры",1224284,6168701,"pluses","меню понятное","exploitation","positive","train"
224,2546,"Телевизоры",1224243,6168701,"comment"," никакого излучения нет, энергосберегающие лампочки при приближении к телевезору не светятся (ложь проверял) hi-fi техника стоит под телевизором - фона нет, с пультов вся техника работает без проблем","exploitation","positive","train"
225,1600,"Телевизоры",1224206,6168701,"minuses","неудачная подставка: телевизор при касании ""пошатывается"";","exploitation","negative","train"
226,2427,"Телевизоры",1224210,6168701,"comment"," резюме сервисного центра- сгорела плата ссб, замена обошлась в 9т","exploitation","negative","train"
